Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,Year,Team,league,country
Agustín Rossi,ar,GK,26.0,24,24,2160,24.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Boca Juniors,liga_argentina,argentina
Frank Fabra,co,DF,30.0,22,22,1915,21.3,1,4,5,1,0,0,10,0,1.0,1.0,2.3,3.4,57,129,102,0.05,0.19,0.23,0.05,0.23,0.05,0.11,0.16,0.05,0.16,2022,Boca Juniors,liga_argentina,argentina
Guillermo Matías Fernández,ar,MF,30.0,24,22,1825,20.3,3,1,4,3,0,1,10,0,3.1,2.3,1.6,3.9,28,88,45,0.15,0.05,0.2,0.15,0.2,0.15,0.08,0.23,0.11,0.19,2022,Boca Juniors,liga_argentina,argentina
Alan Varela,ar,MF,20.0,22,21,1844,20.5,0,1,1,0,0,0,6,0,0.3,0.3,0.9,1.2,7,87,8,0.0,0.05,0.05,0.0,0.05,0.01,0.05,0.06,0.01,0.06,2022,Boca Juniors,liga_argentina,argentina
Luis Advíncula,pe,DF,31.0,20,20,1800,20.0,0,0,0,0,0,0,8,0,0.2,0.2,0.7,0.8,25,76,47,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,2022,Boca Juniors,liga_argentina,argentina
Óscar Romero,py,MF,29.0,22,17,1466,16.3,2,3,5,2,0,0,3,0,2.5,2.5,2.9,5.4,40,126,86,0.12,0.18,0.31,0.12,0.31,0.15,0.18,0.33,0.15,0.33,2022,Boca Juniors,liga_argentina,argentina
Carlos Zambrano,pe,DF,32.0,18,16,1430,15.9,0,0,0,0,0,0,9,0,0.2,0.2,0.0,0.2,9,36,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,2022,Boca Juniors,liga_argentina,argentina
Darío Benedetto,ar,FW,31.0,17,14,1076,12.0,5,1,6,5,0,1,4,0,4.4,3.6,1.1,4.8,7,23,62,0.42,0.08,0.5,0.42,0.5,0.37,0.09,0.46,0.3,0.4,2022,Boca Juniors,liga_argentina,argentina
Juan Ramírez,ar,MF,28.0,21,14,1049,11.7,0,1,1,0,0,0,3,0,1.1,1.1,0.5,1.6,36,64,50,0.0,0.09,0.09,0.0,0.09,0.09,0.04,0.14,0.09,0.14,2022,Boca Juniors,liga_argentina,argentina
Sebastián Villa,co,FW,25.0,18,13,1268,14.1,4,7,11,4,0,0,1,0,2.3,2.3,3.7,6.0,81,56,187,0.28,0.5,0.78,0.28,0.78,0.16,0.26,0.42,0.16,0.42,2022,Boca Juniors,liga_argentina,argentina
Luis Vázquez,ar,FW,21.0,25,13,1237,13.7,1,2,3,1,0,0,4,1,1.8,1.8,0.9,2.6,12,17,65,0.07,0.15,0.22,0.07,0.22,0.13,0.06,0.19,0.13,0.19,2022,Boca Juniors,liga_argentina,argentina
Luca Langoni,ar,FW,19.0,18,11,949,10.5,6,1,7,6,0,0,2,0,1.9,1.9,1.3,3.2,18,11,77,0.57,0.09,0.66,0.57,0.66,0.18,0.12,0.3,0.18,0.3,2022,Boca Juniors,liga_argentina,argentina
Marcos Rojo,ar,DF,31.0,11,11,898,10.0,3,0,3,2,1,2,5,1,2.6,1.1,0.0,1.1,2,32,0,0.3,0.0,0.3,0.2,0.2,0.27,0.0,0.27,0.11,0.11,2022,Boca Juniors,liga_argentina,argentina
Jorge Figal,ar,DF,27.0,12,10,874,9.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.1,5,26,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,2022,Boca Juniors,liga_argentina,argentina
Facundo Roncaglia,ar,DF,34.0,11,8,781,8.7,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,0,20,0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,2022,Boca Juniors,liga_argentina,argentina
Martín Payero,ar,MF,23.0,14,8,678,7.5,1,0,1,1,0,0,2,0,1.0,1.0,0.8,1.8,17,24,39,0.13,0.0,0.13,0.13,0.13,0.13,0.1,0.23,0.13,0.23,2022,Boca Juniors,liga_argentina,argentina
Cristian Medina,ar,MF,19.0,18,7,752,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.4,0.6,18,25,35,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.07,0.03,0.07,2022,Boca Juniors,liga_argentina,argentina
Agustín Sández,ar,DF,21.0,8,6,605,6.7,1,0,1,1,0,0,4,0,0.4,0.4,0.2,0.6,7,28,28,0.15,0.0,0.15,0.15,0.15,0.06,0.02,0.08,0.06,0.08,2022,Boca Juniors,liga_argentina,argentina
Marcelo Weigandt,ar,DF,22.0,8,6,568,6.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,13,36,18,0.0,0.0,0.0,0.0,0.0,0.1,0.03,0.14,0.1,0.14,2022,Boca Juniors,liga_argentina,argentina
Exequiel Zeballos,ar,MF,19.0,10,5,568,6.3,3,1,4,3,0,0,3,0,2.2,2.2,1.7,3.9,30,16,70,0.48,0.16,0.63,0.48,0.63,0.35,0.27,0.62,0.35,0.62,2022,Boca Juniors,liga_argentina,argentina
Aaron Nicolás Molinas,ar,MF,21.0,14,5,509,5.7,0,1,1,0,0,0,2,0,0.6,0.6,0.6,1.2,24,59,26,0.0,0.18,0.18,0.0,0.18,0.11,0.11,0.22,0.11,0.22,2022,Boca Juniors,liga_argentina,argentina
Gabriel Aranda,ar,DF,20.0,5,5,450,5.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,12,1,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,2022,Boca Juniors,liga_argentina,argentina
Esteban Rolón,ar,MF,26.0,7,4,316,3.5,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0,14,1,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,2022,Boca Juniors,liga_argentina,argentina
Nicolás Orsini,ar,FW,27.0,10,3,340,3.8,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,3,4,26,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.2,2022,Boca Juniors,liga_argentina,argentina
Aníbal Moreno,ar,MF,22.0,26,26,2286,25.4,2,0,2,2,0,0,8,0,1.1,1.1,0.7,1.8,11,144,12,0.08,0.0,0.08,0.08,0.08,0.04,0.03,0.07,0.04,0.07,2022,Racing Club,liga_argentina,argentina
Enzo Copetti,ar,FW,26.0,25,25,2142,23.8,11,4,15,11,0,1,6,0,7.7,6.9,3.4,10.3,26,35,151,0.46,0.17,0.63,0.46,0.63,0.32,0.14,0.47,0.29,0.43,2022,Racing Club,liga_argentina,argentina
Facundo Mura,ar,DF,22.0,25,21,1806,20.1,0,1,1,0,0,0,4,0,0.6,0.6,0.7,1.4,24,73,84,0.0,0.05,0.05,0.0,0.05,0.03,0.04,0.07,0.03,0.07,2022,Racing Club,liga_argentina,argentina
Leonel Miranda,ar,MF,28.0,25,21,1612,17.9,1,1,2,1,0,0,4,0,2.2,2.2,1.4,3.5,23,110,96,0.06,0.06,0.11,0.06,0.11,0.12,0.08,0.2,0.12,0.2,2022,Racing Club,liga_argentina,argentina
Emiliano Insúa,ar,DF,33.0,20,20,1800,20.0,0,1,1,0,0,0,6,0,0.6,0.6,0.3,0.9,30,107,5,0.0,0.05,0.05,0.0,0.05,0.03,0.01,0.05,0.03,0.05,2022,Racing Club,liga_argentina,argentina
Eugenio Mena,cl,DF,33.0,20,18,1599,17.8,1,1,2,1,0,0,8,1,0.4,0.4,1.3,1.7,34,94,114,0.06,0.06,0.11,0.06,0.11,0.02,0.07,0.1,0.02,0.1,2022,Racing Club,liga_argentina,argentina
Leonardo Sigali,ar,DF,34.0,17,17,1425,15.8,1,1,2,1,0,0,6,1,0.9,0.9,0.3,1.2,12,77,3,0.06,0.06,0.13,0.06,0.13,0.06,0.02,0.08,0.06,0.08,2022,Racing Club,liga_argentina,argentina
Gabriel Hauche,ar,FW,35.0,21,15,1139,12.7,2,2,4,2,0,0,1,0,2.9,2.9,1.6,4.5,17,39,133,0.16,0.16,0.32,0.16,0.32,0.23,0.13,0.36,0.23,0.36,2022,Racing Club,liga_argentina,argentina
Gabriel Arias,cl,GK,34.0,14,14,1259,14.0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Racing Club,liga_argentina,argentina
Gonzalo Piovi,ar,DF,27.0,16,14,1199,13.3,1,2,3,1,0,0,4,0,1.2,1.2,2.5,3.7,15,78,36,0.08,0.15,0.23,0.08,0.23,0.09,0.19,0.27,0.09,0.27,2022,Racing Club,liga_argentina,argentina
Matías Rojas,py,FW,26.0,17,14,1058,11.8,5,4,9,4,1,1,3,0,3.4,2.6,2.1,4.8,30,57,106,0.43,0.34,0.77,0.34,0.68,0.29,0.18,0.47,0.22,0.41,2022,Racing Club,liga_argentina,argentina
Gastón Gómez,ar,GK,25.0,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Racing Club,liga_argentina,argentina
Jonathan David Gómez,ar,MF,32.0,24,10,1059,11.8,2,2,4,2,0,0,6,0,1.6,1.6,1.4,3.0,28,89,59,0.17,0.17,0.34,0.17,0.34,0.14,0.12,0.25,0.14,0.25,2022,Racing Club,liga_argentina,argentina
Jonathan Galván,ar,DF,29.0,17,10,1052,11.7,0,1,1,0,0,1,2,0,1.1,0.3,0.3,0.6,8,46,5,0.0,0.09,0.09,0.0,0.09,0.09,0.03,0.12,0.02,0.05,2022,Racing Club,liga_argentina,argentina
Carlos Alcaraz,ar,MF,19.0,19,10,1019,11.3,3,0,3,3,0,0,1,1,3.6,3.6,0.9,4.5,23,64,59,0.26,0.0,0.26,0.26,0.26,0.32,0.08,0.4,0.32,0.4,2022,Racing Club,liga_argentina,argentina
Emiliano Vecchio,ar,MF,33.0,14,9,820,9.1,3,4,7,3,0,1,0,0,2.1,1.3,2.1,3.3,23,94,47,0.33,0.44,0.77,0.33,0.77,0.23,0.23,0.45,0.14,0.37,2022,Racing Club,liga_argentina,argentina
Tomás Chancalay,ar,FW,23.0,11,8,623,6.9,2,1,3,2,0,0,2,2,1.8,1.8,1.6,3.5,24,23,69,0.29,0.14,0.43,0.29,0.43,0.27,0.24,0.5,0.27,0.5,2022,Racing Club,liga_argentina,argentina
Johan Carbonero,co,FW,22.0,16,7,737,8.2,2,1,3,2,0,0,2,1,2.1,2.1,0.7,2.8,32,20,122,0.24,0.12,0.37,0.24,0.37,0.26,0.09,0.34,0.26,0.34,2022,Racing Club,liga_argentina,argentina
Iván Pillud,ar,DF,35.0,10,7,565,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,9,25,18,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,2022,Racing Club,liga_argentina,argentina
Nicolás Oróz,ar,FW,27.0,13,6,523,5.8,0,3,3,0,0,0,0,0,0.6,0.2,1.2,1.5,3,20,51,0.0,0.52,0.52,0.0,0.52,0.1,0.21,0.31,0.04,0.26,2022,Racing Club,liga_argentina,argentina
Maximiliano Romero,ar,FW,23.0,20,5,686,7.6,2,1,3,2,0,0,0,0,1.7,1.7,1.1,2.8,7,11,38,0.26,0.13,0.39,0.26,0.39,0.23,0.14,0.37,0.23,0.37,2022,Racing Club,liga_argentina,argentina
Edwin Cardona,co,FW,29.0,12,3,386,4.3,0,0,0,0,0,0,3,0,0.8,0.8,0.6,1.4,10,39,37,0.0,0.0,0.0,0.0,0.0,0.18,0.15,0.33,0.18,0.33,2022,Racing Club,liga_argentina,argentina
Lucas Orbán,ar,DF,32.0,6,2,215,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,7,0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2022,Racing Club,liga_argentina,argentina
Nery Domínguez,ar,DF,31.0,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Racing Club,liga_argentina,argentina
Franco Armani,ar,GK,35.0,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,River Plate,liga_argentina,argentina
Emanuel Mammana,ar,DF,25.0,21,20,1635,18.2,2,0,2,2,0,0,2,0,0.3,0.3,0.1,0.3,9,50,9,0.11,0.0,0.11,0.11,0.11,0.01,0.0,0.02,0.01,0.02,2022,River Plate,liga_argentina,argentina
Agustín Palavecino,ar,MF,25.0,24,19,1518,16.9,3,3,6,3,0,0,3,0,2.5,2.5,2.4,4.9,48,157,97,0.18,0.18,0.36,0.18,0.36,0.15,0.14,0.29,0.15,0.29,2022,River Plate,liga_argentina,argentina
Enzo Pérez,ar,MF,35.0,21,19,1511,16.8,0,0,0,0,0,0,6,0,0.3,0.3,0.3,0.7,14,125,9,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.04,0.02,0.04,2022,River Plate,liga_argentina,argentina
Milton Casco,ar,DF,33.0,18,18,1587,17.6,0,0,0,0,0,0,5,0,0.2,0.2,0.7,0.9,35,121,57,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,2022,River Plate,liga_argentina,argentina
Nicolás De La Cruz,uy,MF,24.0,21,17,1418,15.8,3,5,8,3,0,0,4,0,2.8,2.8,2.5,5.2,56,129,86,0.19,0.32,0.51,0.19,0.51,0.18,0.16,0.33,0.18,0.33,2022,River Plate,liga_argentina,argentina
Elías Gómez,ar,DF,27.0,16,16,1395,15.5,0,1,1,0,0,0,1,0,0.8,0.8,0.7,1.4,33,53,133,0.0,0.06,0.06,0.0,0.06,0.05,0.04,0.09,0.05,0.09,2022,River Plate,liga_argentina,argentina
Marcelo Herrera,ar,DF,23.0,18,15,1361,15.1,0,1,1,0,0,0,7,1,1.0,1.0,0.8,1.8,12,55,106,0.0,0.07,0.07,0.0,0.07,0.07,0.05,0.12,0.07,0.12,2022,River Plate,liga_argentina,argentina
Lucas Beltrán,ar,FW,20.0,21,15,1190,13.2,4,3,7,4,0,0,1,0,3.0,3.0,1.6,4.6,16,16,92,0.3,0.23,0.53,0.3,0.53,0.23,0.12,0.35,0.23,0.35,2022,River Plate,liga_argentina,argentina
Pablo Solari,ar,FW,20.0,17,13,1036,11.5,5,0,5,5,0,0,3,0,3.4,3.4,1.9,5.3,49,20,145,0.43,0.0,0.43,0.43,0.43,0.3,0.17,0.46,0.3,0.46,2022,River Plate,liga_argentina,argentina
Ezequiel Barco,ar,MF,22.0,24,12,1221,13.6,1,2,3,1,0,0,3,0,1.4,1.4,2.8,4.3,75,82,143,0.07,0.15,0.22,0.07,0.22,0.11,0.21,0.32,0.11,0.32,2022,River Plate,liga_argentina,argentina
Santiago Simón,ar,MF,19.0,17,11,973,10.8,0,2,2,0,0,0,4,0,0.8,0.8,1.8,2.7,33,60,112,0.0,0.18,0.18,0.0,0.18,0.08,0.17,0.25,0.08,0.25,2022,River Plate,liga_argentina,argentina
Paulo Díaz,cl,DF,27.0,12,10,935,10.4,0,0,0,0,0,0,4,0,0.7,0.7,0.2,0.9,14,55,8,0.0,0.0,0.0,0.0,0.0,0.06,0.02,0.08,0.06,0.08,2022,River Plate,liga_argentina,argentina
Juan Quintero,co,MF,29.0,19,10,781,8.7,1,5,6,1,0,0,1,1,0.8,0.8,2.7,3.5,19,104,52,0.12,0.58,0.69,0.12,0.69,0.09,0.31,0.4,0.09,0.4,2022,River Plate,liga_argentina,argentina
Miguel Borja,co,FW,29.0,18,9,984,10.9,9,1,10,9,0,0,5,0,4.3,4.3,1.6,5.9,11,11,84,0.82,0.09,0.91,0.82,0.91,0.39,0.15,0.54,0.39,0.54,2022,River Plate,liga_argentina,argentina
Héctor David Martínez,py,DF,24.0,11,9,913,10.1,0,1,1,0,0,0,2,0,0.3,0.3,0.4,0.7,17,68,6,0.0,0.1,0.1,0.0,0.1,0.02,0.04,0.06,0.02,0.06,2022,River Plate,liga_argentina,argentina
Javier Pinola,ar,DF,38.0,11,9,870,9.7,1,0,1,1,0,0,4,0,0.4,0.4,0.0,0.4,5,14,0,0.1,0.0,0.1,0.1,0.1,0.04,0.0,0.04,0.04,0.04,2022,River Plate,liga_argentina,argentina
Bruno Zuculini,ar,MF,28.0,12,9,861,9.6,1,0,1,1,0,0,7,1,0.6,0.6,0.2,0.8,3,56,7,0.1,0.0,0.1,0.1,0.1,0.06,0.02,0.08,0.06,0.08,2022,River Plate,liga_argentina,argentina
Leandro González Pirez,ar,DF,29.0,11,9,813,9.0,1,0,1,1,0,0,3,0,0.5,0.5,0.1,0.7,0,22,0,0.11,0.0,0.11,0.11,0.11,0.06,0.01,0.07,0.06,0.07,2022,River Plate,liga_argentina,argentina
Rodrigo Aliendro,ar,MF,30.0,11,7,589,6.5,0,0,0,0,0,0,1,1,0.5,0.5,0.4,0.9,9,49,34,0.0,0.0,0.0,0.0,0.0,0.08,0.06,0.14,0.08,0.14,2022,River Plate,liga_argentina,argentina
Enzo Fernández,ar,MF,21.0,5,5,449,5.0,1,1,2,1,0,0,1,0,1.3,1.3,0.2,1.5,16,67,26,0.2,0.2,0.4,0.2,0.4,0.26,0.04,0.3,0.26,0.3,2022,River Plate,liga_argentina,argentina
José Paradela,ar,MF,23.0,15,4,531,5.9,1,2,3,1,0,0,1,0,0.9,0.9,1.2,2.0,18,23,64,0.17,0.34,0.51,0.17,0.51,0.15,0.2,0.34,0.15,0.34,2022,River Plate,liga_argentina,argentina
Julián Álvarez,ar,FW,22.0,5,4,391,4.3,3,2,5,3,0,0,0,0,2.0,2.0,1.6,3.6,8,23,43,0.69,0.46,1.15,0.69,1.15,0.45,0.38,0.83,0.45,0.83,2022,River Plate,liga_argentina,argentina
Braian Romero,ar,FW,30.0,7,4,318,3.5,2,0,2,2,0,0,1,0,2.0,2.0,0.1,2.1,4,6,17,0.57,0.0,0.57,0.57,0.57,0.56,0.02,0.58,0.56,0.58,2022,River Plate,liga_argentina,argentina
Lucas Chávez,ar,GK,26.0,27,27,2430,27.0,0,0,0,0,0,0,1,0,0.0,0.0,0.5,0.5,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,2022,Huracan,liga_argentina,argentina
Franco Cristaldo,ar,MF,25.0,27,27,2401,26.7,14,5,19,6,8,8,3,0,10.4,4.0,4.0,8.1,44,171,162,0.52,0.19,0.71,0.22,0.41,0.39,0.15,0.54,0.15,0.3,2022,Huracan,liga_argentina,argentina
Federico Fattori,ar,MF,29.0,26,26,2328,25.9,0,1,1,0,0,0,7,1,0.2,0.2,0.2,0.4,16,196,22,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02,2022,Huracan,liga_argentina,argentina
Santiago Hezze,ar,MF,20.0,26,26,2242,24.9,2,1,3,2,0,0,7,0,1.4,1.4,1.8,3.2,25,131,36,0.08,0.04,0.12,0.08,0.12,0.06,0.07,0.13,0.06,0.13,2022,Huracan,liga_argentina,argentina
Matías Cóccaro,uy,FW,24.0,26,26,2210,24.6,5,1,6,3,2,3,7,0,7.6,5.2,2.3,7.5,18,32,142,0.2,0.04,0.24,0.12,0.16,0.31,0.09,0.4,0.21,0.31,2022,Huracan,liga_argentina,argentina
Benjamín Garré,ar,FW,21.0,26,25,2056,22.8,4,1,5,4,0,0,3,0,3.2,3.2,2.0,5.2,72,103,116,0.18,0.04,0.22,0.18,0.22,0.14,0.09,0.23,0.14,0.23,2022,Huracan,liga_argentina,argentina
Guillermo Soto,cl,DF,28.0,23,23,1977,22.0,0,2,2,0,0,0,9,1,0.5,0.5,1.9,2.4,39,47,120,0.0,0.09,0.09,0.0,0.09,0.02,0.09,0.11,0.02,0.11,2022,Huracan,liga_argentina,argentina
Lucas Merolla,ar,DF,26.0,22,22,1980,22.0,1,1,2,1,0,0,11,0,1.5,1.5,0.5,2.0,12,46,4,0.05,0.05,0.09,0.05,0.09,0.07,0.02,0.09,0.07,0.09,2022,Huracan,liga_argentina,argentina
Fernando Tobio,ar,DF,32.0,19,19,1618,18.0,0,0,0,0,0,0,6,0,0.3,0.3,0.0,0.4,7,48,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,2022,Huracan,liga_argentina,argentina
Rodrigo Cabral,ar,FW,21.0,22,17,1397,15.5,1,3,4,1,0,0,2,0,1.7,1.7,1.3,3.0,38,38,113,0.06,0.19,0.26,0.06,0.26,0.11,0.08,0.19,0.11,0.19,2022,Huracan,liga_argentina,argentina
Walter Pérez,ar,DF,23.0,18,16,1500,16.7,1,0,1,1,0,0,2,0,0.4,0.4,0.6,1.0,20,61,48,0.06,0.0,0.06,0.06,0.06,0.02,0.04,0.06,0.02,0.06,2022,Huracan,liga_argentina,argentina
Patricio Pizarro,ar,DF,21.0,14,6,680,7.6,0,0,0,0,0,0,3,0,0.8,0.8,0.4,1.2,1,19,3,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,2022,Huracan,liga_argentina,argentina
Jonathan Galván,ar,DF,29.0,6,6,528,5.9,1,0,1,1,0,0,1,0,0.1,0.1,0.1,0.2,0,16,3,0.17,0.0,0.17,0.17,0.17,0.02,0.02,0.04,0.02,0.04,2022,Huracan,liga_argentina,argentina
Guillermo Benítez,ar,DF,28.0,9,5,405,4.5,0,0,0,0,0,0,2,0,0.0,0.0,0.4,0.4,7,18,25,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.09,0.01,0.09,2022,Huracan,liga_argentina,argentina
Juan Gauto,ar,FW,17.0,11,5,369,4.1,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,8,9,22,0.0,0.0,0.0,0.0,0.0,0.03,0.04,0.07,0.03,0.07,2022,Huracan,liga_argentina,argentina
Gabriel Gudiño,ar,FW,29.0,19,4,525,5.8,1,1,2,1,0,0,2,0,1.1,1.1,0.9,2.0,14,11,51,0.17,0.17,0.34,0.17,0.34,0.19,0.16,0.35,0.19,0.35,2022,Huracan,liga_argentina,argentina
Lucas Carrizo,ar,DF,24.0,9,4,468,5.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,9,26,23,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.05,2022,Huracan,liga_argentina,argentina
Nicolás Cordero,ar,FW,22.0,15,4,413,4.6,3,0,3,3,0,0,2,0,2.5,2.5,0.2,2.6,4,10,44,0.65,0.0,0.65,0.65,0.65,0.53,0.04,0.57,0.53,0.57,2022,Huracan,liga_argentina,argentina
Ismael Quílez,ar,DF,32.0,7,4,383,4.3,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,9,12,28,0.0,0.0,0.0,0.0,0.0,0.04,0.17,0.21,0.04,0.21,2022,Huracan,liga_argentina,argentina
César Ibáñez,ar,DF,22.0,2,2,91,1.0,0,0,0,0,0,0,3,1,0.1,0.1,0.0,0.1,3,7,3,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08,0.08,2022,Huracan,liga_argentina,argentina
Enzo Luna,ar,FW,19.0,12,1,263,2.9,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,11,10,28,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,2022,Huracan,liga_argentina,argentina
Jhonatan Candia,uy,MF,26.0,5,1,134,1.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,4,3,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.09,0.07,0.09,2022,Huracan,liga_argentina,argentina
Santiago Moya,ar,DF,18.0,2,1,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Huracan,liga_argentina,argentina
Maicol Cabrera,uy,FW,25.0,7,0,91,1.0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,3,8,0.0,0.0,0.0,0.0,0.0,0.21,0.12,0.34,0.21,0.34,2022,Huracan,liga_argentina,argentina
Joaquín Pereyra,ar,MF,23.0,27,26,2267,25.2,1,2,3,1,0,0,4,0,2.1,2.1,3.1,5.2,61,146,91,0.04,0.08,0.12,0.04,0.12,0.08,0.12,0.21,0.08,0.21,2022,Atletico Tucuman,liga_argentina,argentina
Bruno Bianchi,ar,DF,32.0,25,25,2253,25.0,0,1,1,0,0,0,10,1,1.1,1.1,0.3,1.4,4,55,5,0.0,0.04,0.04,0.0,0.04,0.04,0.01,0.06,0.04,0.06,2022,Atletico Tucuman,liga_argentina,argentina
Guillermo Acosta,ar,MF,33.0,25,25,2222,24.7,0,0,0,0,0,0,12,0,0.4,0.4,0.8,1.2,26,121,20,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,2022,Atletico Tucuman,liga_argentina,argentina
Carlos Lampe,bo,GK,34.0,24,24,2190,24.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,Atletico Tucuman,liga_argentina,argentina
Ramiro Carrera,ar,MF,28.0,24,24,2094,23.3,7,4,11,5,2,3,8,0,5.5,3.8,3.3,7.0,54,122,68,0.3,0.17,0.47,0.21,0.39,0.24,0.14,0.39,0.17,0.31,2022,Atletico Tucuman,liga_argentina,argentina
Martin Garay,ar,DF,22.0,24,23,2062,22.9,0,1,1,0,0,0,5,0,0.3,0.3,0.5,0.8,35,79,75,0.0,0.04,0.04,0.0,0.04,0.01,0.02,0.03,0.01,0.03,2022,Atletico Tucuman,liga_argentina,argentina
Manuel Capasso,ar,DF,25.0,24,22,1950,21.7,1,0,1,1,0,0,5,1,1.0,1.0,0.7,1.7,0,22,1,0.05,0.0,0.05,0.05,0.05,0.05,0.03,0.08,0.05,0.08,2022,Atletico Tucuman,liga_argentina,argentina
Matías Orihuela,ar,DF,29.0,25,21,1985,22.1,1,0,1,1,0,0,3,0,0.6,0.6,0.5,1.0,23,50,54,0.05,0.0,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,2022,Atletico Tucuman,liga_argentina,argentina
Augusto Lotti,it,FW,25.0,25,18,1436,16.0,5,3,8,4,1,1,1,0,3.5,2.7,1.5,4.2,10,37,87,0.31,0.19,0.5,0.25,0.44,0.22,0.09,0.31,0.17,0.26,2022,Atletico Tucuman,liga_argentina,argentina
Ramiro Ruiz,ar,FW,21.0,21,17,1428,15.9,3,2,5,3,0,0,3,0,4.3,4.3,2.3,6.6,36,30,129,0.19,0.13,0.32,0.19,0.32,0.27,0.14,0.42,0.27,0.42,2022,Atletico Tucuman,liga_argentina,argentina
Renzo Tesuri,ar,MF,25.0,22,13,1189,13.2,2,1,3,2,0,0,4,0,0.9,0.9,1.6,2.5,15,49,45,0.15,0.08,0.23,0.15,0.23,0.07,0.12,0.19,0.07,0.19,2022,Atletico Tucuman,liga_argentina,argentina
