,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
84,Coritiba,41,27.5,45.2,38,418,3420,38,39,26,65,35,4,4,110,11,42.3,39.7,32.0,71.7,624,1343,1.03,0.68,1.71,0.92,1.61,1.11,0.84,1.96,1.05,1.89,19,8,6,5,32,21,11,30,1.58,26.3,18.1,8.2,0.43,19,5,9,5,23,21,2,24,1.26,23.4,26.2,-2.8,-0.15,504,142,28.2,13.26,3.74,0.07,0.25,19.8,15,2022,brasil,brasileirao
85,Cuiabá,35,28.3,44.2,38,418,3420,38,31,16,47,27,4,5,83,6,41.0,37.2,27.9,65.1,538,1374,0.82,0.42,1.24,0.71,1.13,1.08,0.73,1.81,0.98,1.71,19,9,4,6,22,18,4,31,1.63,23.9,19.4,4.5,0.24,19,6,4,9,18,22,-4,22,1.16,21.7,30.4,-8.7,-0.46,460,124,27.0,12.11,3.26,0.06,0.22,18.4,16,2022,brasil,brasileirao
86,Flamengo,44,27.2,57.3,38,418,3420,38,59,49,108,56,3,6,84,4,65.4,60.6,50.6,111.2,787,1966,1.55,1.29,2.84,1.47,2.76,1.72,1.33,3.05,1.6,2.93,19,6,4,9,18,19,-1,22,1.16,20.6,20.6,0.0,0.0,19,9,4,6,23,24,-1,31,1.63,20.2,29.8,-9.6,-0.51,558,199,35.7,14.68,5.24,0.1,0.28,17.0,26,2022,brasil,brasileirao
87,Fluminense,32,28.4,60.8,38,418,3420,38,62,47,109,58,4,4,80,9,50.1,47.1,37.6,84.7,773,1625,1.63,1.24,2.87,1.53,2.76,1.32,0.99,2.31,1.24,2.23,19,8,5,6,28,19,9,29,1.53,30.7,23.4,7.4,0.39,19,4,6,9,16,22,-6,18,0.95,15.5,24.6,-9.2,-0.48,548,187,34.1,14.42,4.92,0.11,0.31,19.0,22,2022,brasil,brasileirao
88,Fortaleza,34,28.5,45.2,38,418,3420,38,45,36,81,43,2,6,85,4,44.5,41.0,32.2,73.1,614,1385,1.18,0.95,2.13,1.13,2.08,1.17,0.85,2.02,1.08,1.92,19,6,8,5,20,22,-2,26,1.37,17.6,26.4,-8.8,-0.46,19,5,5,9,20,31,-11,20,1.05,17.1,35.3,-18.2,-0.96,515,166,32.2,13.55,4.37,0.08,0.26,20.5,31,2022,brasil,brasileirao
89,Goiás,37,26.8,40.2,38,418,3420,38,40,28,68,34,6,6,114,5,34.6,30.3,23.6,53.9,494,972,1.05,0.74,1.79,0.89,1.63,0.91,0.62,1.53,0.8,1.42,19,8,5,6,29,23,6,29,1.53,32.6,19.0,13.6,0.72,19,3,6,10,20,36,-16,15,0.79,20.0,30.6,-10.5,-0.55,411,119,29.0,10.82,3.13,0.08,0.29,19.3,23,2022,brasil,brasileirao
90,Internacional,37,27.4,50.0,38,418,3420,38,58,40,98,50,8,10,86,2,55.8,48.1,40.0,88.1,750,1504,1.53,1.05,2.58,1.32,2.37,1.47,1.05,2.52,1.27,2.32,19,11,4,4,25,16,9,37,1.95,23.4,20.9,2.5,0.13,19,1,2,16,14,44,-30,5,0.26,18.9,32.7,-13.8,-0.72,510,176,34.5,13.42,4.63,0.1,0.28,18.2,19,2022,brasil,brasileirao
91,Juventude,45,27.4,45.8,38,418,3420,38,27,18,45,25,2,4,109,8,33.4,30.3,21.6,52.0,509,1216,0.71,0.47,1.18,0.66,1.13,0.88,0.57,1.45,0.8,1.37,19,6,8,5,17,15,2,26,1.37,26.2,20.7,5.5,0.29,19,4,3,12,14,27,-13,15,0.79,14.9,27.2,-12.3,-0.65,445,132,29.7,11.71,3.47,0.06,0.19,19.9,16,2022,brasil,brasileirao
92,Palmeiras,35,26.9,54.3,38,418,3420,38,64,47,111,57,7,9,75,3,69.3,62.4,48.2,110.6,750,1718,1.68,1.24,2.92,1.5,2.74,1.82,1.27,3.09,1.64,2.91,19,4,8,7,20,22,-2,20,1.05,22.0,22.4,-0.4,-0.02,19,3,8,8,14,19,-5,17,0.89,21.9,25.5,-3.6,-0.19,667,223,33.4,17.55,5.87,0.09,0.26,18.3,37,2022,brasil,brasileirao
93,Red Bull Bragantino,37,23.8,49.7,38,418,3420,38,48,29,77,44,4,5,86,6,52.7,48.7,36.9,85.6,659,1508,1.26,0.76,2.03,1.16,1.92,1.39,0.97,2.36,1.28,2.25,19,6,5,8,22,23,-1,23,1.21,25.7,21.1,4.6,0.24,19,2,7,10,17,34,-17,13,0.68,17.4,30.1,-12.8,-0.67,539,166,30.8,14.18,4.37,0.08,0.27,19.2,29,2022,brasil,brasileirao
94,Santos,40,25.4,48.1,38,418,3420,38,42,31,73,39,3,3,100,3,46.2,43.8,33.4,77.2,661,1394,1.11,0.82,1.92,1.03,1.84,1.22,0.88,2.09,1.15,2.03,19,7,4,8,24,26,-2,25,1.32,26.0,29.7,-3.7,-0.2,19,2,4,13,10,34,-24,10,0.53,18.0,32.9,-14.9,-0.78,481,157,32.6,12.66,4.13,0.08,0.25,19.1,24,2022,brasil,brasileirao
95,São Paulo,39,26.8,55.5,38,418,3420,38,55,38,93,50,5,7,103,6,49.7,44.4,35.6,79.9,651,1694,1.45,1.0,2.45,1.32,2.32,1.31,0.94,2.24,1.17,2.1,19,2,9,8,18,27,-9,15,0.79,22.3,21.8,0.4,0.02,19,1,4,14,11,42,-31,7,0.37,11.2,35.2,-24.1,-1.27,501,155,30.9,13.18,4.08,0.1,0.32,17.7,15,2022,brasil,brasileirao
96,América (MG),36,29.2,47.6,38,418,3420,38,41,27,68,35,6,9,64,1,56.1,49.1,38.6,87.7,736,1507,1.08,0.71,1.79,0.92,1.63,1.48,1.02,2.49,1.29,2.31,19,17,1,1,42,13,29,52,2.74,35.7,15.3,20.4,1.07,19,9,5,5,25,21,4,32,1.68,22.1,18.7,3.4,0.18,569,157,27.6,14.97,4.13,0.06,0.22,20.3,17,2021,brasil,brasileirao
97,Ath Paranaense,40,25.2,49.0,38,418,3420,38,41,31,72,39,2,2,83,3,41.8,40.2,31.0,71.2,579,1437,1.08,0.82,1.89,1.03,1.84,1.1,0.82,1.92,1.06,1.87,19,13,1,5,31,15,16,40,2.11,33.6,17.8,15.8,0.83,19,8,7,4,38,21,17,31,1.63,32.9,22.5,10.4,0.55,506,137,27.1,13.32,3.61,0.08,0.28,20.1,32,2021,brasil,brasileirao
98,Atl Goianiense,31,26.5,49.4,38,418,3420,38,32,20,52,28,4,4,89,2,37.0,33.9,26.5,60.4,559,1401,0.84,0.53,1.37,0.74,1.26,0.97,0.7,1.67,0.89,1.59,19,11,3,5,33,26,7,36,1.89,34.1,22.5,11.6,0.61,19,9,3,7,25,17,8,30,1.58,22.2,25.9,-3.7,-0.2,401,108,26.9,10.55,2.84,0.07,0.26,19.7,19,2021,brasil,brasileirao
99,Atlético Mineiro,35,27.8,56.2,38,418,3420,38,67,47,114,57,10,11,79,2,57.8,49.3,39.6,88.9,616,1756,1.76,1.24,3.0,1.5,2.74,1.52,1.04,2.56,1.3,2.34,19,11,4,4,26,19,7,37,1.95,27.5,18.6,8.9,0.47,19,6,3,10,18,26,-8,21,1.11,23.0,29.6,-6.5,-0.34,527,173,32.8,13.87,4.55,0.11,0.33,20.4,31,2021,brasil,brasileirao
100,Bahia,38,27.2,47.1,38,418,3420,38,42,29,71,38,4,5,94,5,45.6,41.7,32.8,74.5,630,1511,1.11,0.76,1.87,1.0,1.76,1.2,0.86,2.06,1.1,1.96,19,10,5,4,26,18,8,35,1.84,24.5,16.7,7.9,0.41,19,5,7,7,14,18,-4,22,1.16,15.7,20.3,-4.6,-0.24,466,144,30.9,12.26,3.79,0.08,0.26,19.2,21,2021,brasil,brasileirao
101,Ceará,38,27.2,46.6,38,418,3420,38,38,23,61,35,3,4,89,4,47.9,44.9,33.0,77.9,548,1386,1.0,0.61,1.61,0.92,1.53,1.26,0.87,2.13,1.18,2.05,19,7,9,3,28,20,8,30,1.58,23.8,22.1,1.8,0.09,19,7,5,7,27,26,1,26,1.37,23.4,26.5,-3.1,-0.16,507,161,31.8,13.34,4.24,0.07,0.22,19.2,25,2021,brasil,brasileirao
102,Chapecoense,42,25.5,42.6,38,418,3420,38,26,17,43,22,4,5,77,5,39.5,35.8,27.1,62.9,504,1106,0.68,0.45,1.13,0.58,1.03,1.04,0.71,1.75,0.94,1.66,19,11,5,3,24,14,10,38,2.0,24.8,16.6,8.2,0.43,19,4,4,11,14,24,-10,16,0.84,19.5,29.8,-10.4,-0.55,399,115,28.8,10.5,3.03,0.06,0.19,19.3,15,2021,brasil,brasileirao
103,Corinthians,33,28.3,54.6,38,418,3420,38,39,29,68,34,5,6,62,3,40.2,35.5,28.6,64.1,656,1554,1.03,0.76,1.79,0.89,1.66,1.06,0.75,1.81,0.94,1.69,19,9,6,4,22,11,11,33,1.74,32.1,19.7,12.4,0.65,19,4,8,7,19,26,-7,20,1.05,24.0,27.2,-3.1,-0.17,406,139,34.2,10.68,3.66,0.08,0.24,18.7,19,2021,brasil,brasileirao
104,Cuiabá,30,28.5,46.3,38,418,3420,38,32,20,52,28,4,4,87,6,36.6,33.4,27.1,60.5,567,1351,0.84,0.53,1.37,0.74,1.26,0.96,0.71,1.68,0.88,1.59,19,6,10,3,17,14,3,28,1.47,21.5,17.8,3.7,0.19,19,7,4,8,16,22,-6,25,1.32,15.5,32.8,-17.2,-0.91,413,124,30.0,10.87,3.26,0.07,0.23,20.3,9,2021,brasil,brasileirao
105,Flamengo,41,27.4,58.5,38,418,3420,38,67,55,122,64,3,4,84,3,66.5,63.4,50.3,113.7,894,2055,1.76,1.45,3.21,1.68,3.13,1.75,1.32,3.07,1.67,2.99,19,9,6,4,21,14,7,33,1.74,25.9,23.3,2.6,0.14,19,3,8,8,14,26,-12,17,0.89,18.8,27.8,-9.0,-0.47,578,224,38.8,15.21,5.89,0.11,0.29,19.0,24,2021,brasil,brasileirao
106,Fluminense,36,26.5,49.7,38,418,3420,38,37,27,64,33,4,5,85,3,44.3,40.4,31.2,71.6,565,1415,0.97,0.71,1.68,0.87,1.58,1.17,0.82,1.99,1.06,1.88,19,10,7,2,24,14,10,37,1.95,26.5,21.5,4.9,0.26,19,1,10,8,15,24,-9,13,0.68,21.5,28.4,-6.9,-0.36,411,137,33.3,10.82,3.61,0.08,0.24,19.0,21,2021,brasil,brasileirao
107,Fortaleza,28,27.8,49.9,38,418,3420,38,43,26,69,39,4,7,90,4,50.6,44.9,32.6,77.5,628,1474,1.13,0.68,1.82,1.03,1.71,1.33,0.86,2.19,1.18,2.04,19,8,6,5,29,22,7,30,1.58,28.8,26.3,2.5,0.13,19,4,6,9,15,20,-5,18,0.95,21.9,28.2,-6.3,-0.33,533,172,32.3,14.03,4.53,0.07,0.23,21.1,25,2021,brasil,brasileirao
108,Grêmio,39,26.9,51.9,38,418,3420,38,43,33,76,40,3,7,102,7,50.5,45.1,37.2,82.3,813,1621,1.13,0.87,2.0,1.05,1.92,1.33,0.98,2.31,1.19,2.17,19,7,9,3,18,15,3,30,1.58,24.2,15.9,8.3,0.43,19,4,6,9,13,24,-11,18,0.95,21.3,25.7,-4.4,-0.23,549,169,30.8,14.45,4.45,0.07,0.24,20.6,26,2021,brasil,brasileirao
109,Internacional,36,26.2,50.8,38,418,3420,38,43,33,76,37,6,6,105,11,50.6,45.9,39.0,84.9,672,1354,1.13,0.87,2.0,0.97,1.84,1.33,1.03,2.36,1.21,2.24,19,8,5,6,23,21,2,29,1.53,25.9,20.6,5.2,0.27,19,5,3,11,18,24,-6,18,0.95,15.9,24.8,-8.9,-0.47,458,160,34.9,12.05,4.21,0.08,0.23,19.2,20,2021,brasil,brasileirao
110,Juventude,35,27.2,44.6,38,418,3420,38,34,18,52,29,5,6,89,3,37.5,33.1,23.4,56.6,494,1181,0.89,0.47,1.37,0.76,1.24,0.99,0.62,1.6,0.87,1.49,19,7,6,6,18,20,-2,27,1.42,23.7,19.5,4.2,0.22,19,3,11,5,16,17,-1,20,1.05,12.9,25.9,-13.0,-0.69,410,124,30.2,10.79,3.26,0.07,0.23,20.5,26,2021,brasil,brasileirao
111,Palmeiras,46,26.8,50.1,38,418,3420,38,54,41,95,50,4,5,84,7,56.3,52.8,41.4,94.2,694,1499,1.42,1.08,2.5,1.32,2.39,1.48,1.09,2.57,1.39,2.48,19,9,6,4,19,15,4,33,1.74,20.9,16.9,3.9,0.21,19,2,7,10,17,29,-12,13,0.68,16.6,25.4,-8.8,-0.46,544,177,32.5,14.32,4.66,0.09,0.28,19.3,29,2021,brasil,brasileirao
112,Red Bull Bragantino,39,23.8,49.6,38,418,3420,38,53,44,97,51,2,4,89,2,47.2,44.1,34.6,78.7,661,1467,1.39,1.16,2.55,1.34,2.5,1.24,0.91,2.15,1.16,2.07,19,8,6,5,29,21,8,30,1.58,31.3,17.9,13.4,0.7,19,4,1,14,15,30,-15,13,0.68,19.3,25.3,-6.0,-0.32,500,160,32.0,13.16,4.21,0.1,0.32,20.2,24,2021,brasil,brasileirao
113,Santos,38,25.6,53.4,38,418,3420,38,34,22,56,28,6,8,90,1,44.7,38.5,29.3,67.8,792,1546,0.89,0.58,1.47,0.74,1.32,1.18,0.77,1.95,1.01,1.78,19,8,5,6,27,22,5,29,1.53,27.3,20.4,6.8,0.36,19,3,5,11,15,29,-14,14,0.74,18.3,25.8,-7.5,-0.39,462,136,29.4,12.16,3.58,0.06,0.21,21.0,35,2021,brasil,brasileirao
114,São Paulo,32,26.5,56.1,38,418,3420,38,30,20,50,26,4,4,95,4,45.5,42.4,31.4,73.8,677,1633,0.79,0.53,1.32,0.68,1.21,1.2,0.83,2.02,1.12,1.94,19,5,7,7,13,13,0,22,1.16,23.3,21.8,1.6,0.08,19,4,4,11,11,24,-13,16,0.84,16.5,28.9,-12.4,-0.65,446,148,33.2,11.74,3.89,0.06,0.18,18.8,16,2021,brasil,brasileirao
115,Sport Recife,38,26.1,46.0,38,418,3420,38,24,15,39,21,3,4,89,4,39.8,36.7,28.4,65.1,585,1258,0.63,0.39,1.03,0.55,0.95,1.05,0.75,1.8,0.97,1.71,19,0,6,13,13,32,-19,6,0.32,20.1,29.5,-9.4,-0.5,19,1,6,12,14,35,-21,9,0.47,19.5,35.9,-16.4,-0.86,462,132,28.6,12.16,3.47,0.05,0.16,21.2,25,2021,brasil,brasileirao
116,Ath Paranaense,41,25.4,53.8,38,418,3420,38,38,27,65,38,0,1,80,3,45.6,44.8,32.6,77.4,578,1622,1.0,0.71,1.71,1.0,1.71,1.2,0.86,2.06,1.18,2.04,19,11,4,4,35,23,12,37,1.95,44.9,17.6,27.3,1.44,19,10,4,5,33,25,8,34,1.79,33.4,17.6,15.8,0.83,439,144,32.8,11.55,3.79,0.09,0.26,18.8,24,2020,brasil,brasileirao
117,Atl Goianiense,35,24.9,46.9,38,418,3420,38,39,31,70,35,4,4,77,5,44.3,41.1,34.2,75.3,668,1424,1.03,0.82,1.84,0.92,1.74,1.17,0.9,2.07,1.08,1.98,19,12,5,2,34,17,17,41,2.16,29.4,18.7,10.7,0.56,19,8,5,6,27,18,9,29,1.53,25.9,17.5,8.4,0.44,459,143,31.2,12.08,3.76,0.08,0.24,20.2,27,2020,brasil,brasileirao
118,Atlético Mineiro,34,25.8,60.6,38,418,3420,38,60,42,102,52,8,13,64,3,68.5,58.2,45.5,103.7,695,2219,1.58,1.11,2.68,1.37,2.47,1.8,1.2,3.0,1.53,2.73,19,14,4,1,41,13,28,46,2.42,37.1,18.1,19.0,1.0,19,6,4,9,23,32,-9,22,1.16,31.4,27.7,3.8,0.2,621,198,31.9,16.34,5.21,0.08,0.26,19.4,25,2020,brasil,brasileirao
119,Bahia,39,27.3,46.8,38,418,3420,38,48,35,83,43,5,8,84,6,55.9,49.6,38.7,88.3,691,1506,1.26,0.92,2.18,1.13,2.05,1.47,1.02,2.49,1.3,2.32,19,10,7,2,29,16,13,37,1.95,27.8,17.7,10.0,0.53,19,8,5,6,30,25,5,29,1.53,26.5,21.8,4.8,0.25,506,171,33.8,13.32,4.5,0.08,0.25,19.1,24,2020,brasil,brasileirao
120,Botafogo (RJ),45,24.9,47.8,38,418,3420,38,32,17,49,26,6,7,72,6,51.3,45.8,34.1,79.9,604,1427,0.84,0.45,1.29,0.68,1.13,1.35,0.9,2.25,1.21,2.1,19,11,5,3,31,14,17,38,2.0,24.0,17.0,7.0,0.37,19,7,5,7,24,28,-4,26,1.37,17.3,27.9,-10.6,-0.56,515,144,28.0,13.55,3.79,0.05,0.18,19.5,30,2020,brasil,brasileirao
121,Ceará,34,27.9,43.6,38,418,3420,38,52,37,89,46,6,7,93,7,51.8,46.4,36.4,82.8,576,1344,1.37,0.97,2.34,1.21,2.18,1.36,0.96,2.32,1.22,2.18,19,10,6,3,34,23,11,36,1.89,28.0,18.2,9.8,0.52,19,4,11,4,19,17,2,23,1.21,26.3,23.6,2.7,0.14,450,148,32.9,11.84,3.89,0.1,0.31,18.8,22,2020,brasil,brasileirao
122,Corinthians,36,27.6,49.9,38,418,3420,38,44,34,78,40,4,5,85,8,44.1,40.2,31.6,71.8,606,1639,1.16,0.89,2.05,1.05,1.95,1.16,0.83,1.99,1.06,1.89,19,9,8,2,33,16,17,35,1.84,30.2,19.3,10.9,0.57,19,6,5,8,18,21,-3,23,1.21,22.4,19.8,2.6,0.14,471,172,36.5,12.39,4.53,0.08,0.23,19.9,24,2020,brasil,brasileirao
123,Coritiba,47,26.7,46.7,38,418,3420,38,31,21,52,26,5,6,87,8,37.9,33.3,27.2,60.5,565,1286,0.82,0.55,1.37,0.68,1.24,1.0,0.71,1.71,0.88,1.59,19,9,7,3,35,23,12,34,1.79,30.0,25.1,4.8,0.25,19,5,5,9,17,28,-11,20,1.05,21.0,31.5,-10.6,-0.56,387,104,26.9,10.18,2.74,0.07,0.25,21.3,22,2020,brasil,brasileirao
124,Flamengo,38,26.6,60.3,38,418,3420,38,67,50,117,60,7,10,88,3,78.4,71.5,57.8,129.3,922,2171,1.76,1.32,3.08,1.58,2.89,2.06,1.52,3.58,1.88,3.4,19,9,5,5,20,13,7,32,1.68,24.4,18.8,5.6,0.29,19,6,3,10,18,23,-5,21,1.11,21.2,28.2,-7.0,-0.37,569,199,35.0,14.97,5.24,0.11,0.3,17.9,26,2020,brasil,brasileirao
125,Fluminense,37,26.8,48.7,38,418,3420,38,52,34,86,46,6,7,85,4,41.3,35.9,27.9,63.8,545,1349,1.37,0.89,2.26,1.21,2.11,1.09,0.73,1.82,0.94,1.68,19,10,5,4,34,19,15,35,1.84,28.6,18.6,10.0,0.53,19,3,9,7,16,21,-5,18,0.95,24.7,24.7,0.0,0.0,436,141,32.3,11.47,3.71,0.11,0.33,19.0,18,2020,brasil,brasileirao
126,Fortaleza,31,28.9,49.8,38,418,3420,38,33,24,57,28,5,8,83,8,43.3,37.4,30.8,68.3,598,1396,0.87,0.63,1.5,0.74,1.37,1.14,0.81,1.95,0.99,1.8,19,7,5,7,22,25,-3,26,1.37,28.3,23.7,4.6,0.24,19,7,5,7,32,26,6,26,1.37,23.5,28.8,-5.4,-0.28,405,118,29.1,10.66,3.11,0.07,0.24,19.4,20,2020,brasil,brasileirao
127,Goiás,49,26.0,42.5,38,418,3420,38,39,21,60,35,4,5,114,4,39.5,35.6,25.1,60.7,491,1099,1.03,0.55,1.58,0.92,1.47,1.04,0.66,1.7,0.94,1.6,19,8,7,4,29,23,6,31,1.63,26.3,24.9,1.4,0.07,19,5,5,9,16,22,-6,20,1.05,17.8,29.5,-11.7,-0.61,416,129,31.0,10.95,3.39,0.08,0.27,20.1,29,2020,brasil,brasileirao
128,Grêmio,37,27.8,52.4,38,418,3420,38,51,35,86,46,5,7,81,8,54.3,48.8,39.6,88.4,743,1598,1.34,0.92,2.26,1.21,2.13,1.43,1.04,2.47,1.28,2.33,19,6,9,4,24,21,3,27,1.42,24.4,29.3,-5.0,-0.26,19,6,5,8,16,24,-8,23,1.21,19.9,25.1,-5.2,-0.27,507,157,31.0,13.34,4.13,0.09,0.29,19.3,45,2020,brasil,brasileirao
129,Internacional,39,27.1,49.4,38,418,3420,38,59,40,99,50,9,10,91,8,55.3,47.4,35.4,82.8,663,1391,1.55,1.05,2.61,1.32,2.37,1.45,0.93,2.39,1.25,2.18,19,9,2,8,27,26,1,29,1.53,29.3,28.9,0.5,0.03,19,3,6,10,21,33,-12,15,0.79,26.5,28.9,-2.4,-0.12,441,151,34.2,11.61,3.97,0.11,0.33,17.5,21,2020,brasil,brasileirao
130,Palmeiras,36,26.4,52.1,38,418,3420,38,51,33,84,46,5,7,92,5,52.6,47.5,37.1,84.6,609,1606,1.34,0.87,2.21,1.21,2.08,1.38,0.98,2.36,1.25,2.23,19,8,2,9,19,23,-4,26,1.37,20.5,26.7,-6.2,-0.32,19,4,4,11,12,27,-15,16,0.84,14.2,31.3,-17.1,-0.9,515,156,30.3,13.55,4.11,0.09,0.29,20.9,23,2020,brasil,brasileirao
131,Red Bull Bragantino,35,25.3,48.9,38,418,3420,38,50,35,85,46,4,8,73,4,53.3,47.1,36.6,83.7,698,1669,1.32,0.92,2.24,1.21,2.13,1.4,0.96,2.36,1.24,2.2,19,8,6,5,20,15,5,30,1.58,23.8,21.0,2.8,0.15,19,2,5,12,14,29,-15,11,0.58,19.4,26.8,-7.4,-0.39,581,180,31.0,15.29,4.74,0.08,0.26,20.1,32,2020,brasil,brasileirao
132,Santos,40,24.6,50.7,38,418,3420,38,49,32,81,38,11,13,82,5,50.9,40.9,32.3,73.2,638,1346,1.29,0.84,2.13,1.0,1.84,1.34,0.85,2.19,1.08,1.93,19,7,5,7,21,21,0,26,1.37,25.7,24.9,0.9,0.04,19,3,6,10,16,35,-19,15,0.79,15.4,31.6,-16.3,-0.86,423,148,35.0,11.13,3.89,0.09,0.26,19.8,39,2020,brasil,brasileirao
133,São Paulo,28,26.5,57.2,38,418,3420,38,59,36,95,53,6,7,90,2,54.3,48.9,36.2,85.1,701,1692,1.55,0.95,2.5,1.39,2.34,1.43,0.95,2.38,1.29,2.24,19,6,5,8,19,28,-9,23,1.21,17.9,26.3,-8.4,-0.44,19,3,5,11,22,35,-13,14,0.74,21.6,34.8,-13.2,-0.7,549,187,34.1,14.45,4.92,0.1,0.28,19.8,39,2020,brasil,brasileirao
134,Sport Recife,38,27.0,45.0,38,418,3420,38,31,18,49,23,8,8,88,4,34.7,28.6,21.2,49.8,569,1347,0.82,0.47,1.29,0.61,1.08,0.91,0.56,1.47,0.75,1.31,19,4,6,9,13,19,-6,18,0.95,18.4,25.2,-6.8,-0.36,19,3,4,12,18,35,-17,13,0.68,19.5,36.3,-16.7,-0.88,368,90,24.5,9.68,2.37,0.06,0.26,19.8,25,2020,brasil,brasileirao
135,Vasco da Gama,34,26.2,46.7,38,418,3420,38,37,20,57,34,3,4,87,6,41.1,38.0,26.8,64.8,661,1294,0.97,0.53,1.5,0.89,1.42,1.08,0.71,1.79,1.0,1.71,19,3,5,11,16,30,-14,14,0.74,30.0,29.2,0.8,0.04,19,2,7,10,16,32,-16,13,0.68,21.3,35.6,-14.3,-0.75,391,134,34.3,10.29,3.53,0.09,0.25,20.0,24,2020,brasil,brasileirao
136,Ath Paranaense,36,26.2,56.8,38,418,3420,38,49,32,81,46,3,4,83,1,64.0,61.0,48.2,109.2,741,1772,1.29,0.84,2.13,1.21,2.05,1.68,1.27,2.95,1.6,2.87,19,17,2,0,56,18,38,53,2.79,48.9,17.6,31.2,1.64,19,11,4,4,30,19,11,37,1.95,32.7,25.1,7.6,0.4,587,209,35.6,15.45,5.5,0.08,0.22,19.0,25,2019,brasil,brasileirao
137,Atlético Mineiro,32,28.1,49.8,38,418,3420,38,44,26,70,39,5,8,72,5,59.5,53.3,41.2,94.5,720,1538,1.16,0.68,1.84,1.03,1.71,1.57,1.08,2.65,1.4,2.49,19,14,4,1,44,15,29,46,2.42,39.7,16.7,23.0,1.21,19,8,4,7,16,18,-2,28,1.47,22.5,23.1,-0.7,-0.04,603,189,31.3,15.87,4.97,0.06,0.21,20.7,45,2019,brasil,brasileirao
138,Avaí,42,26.7,46.3,38,418,3420,38,17,9,26,13,4,5,79,10,34.8,30.9,23.3,54.1,624,1422,0.45,0.24,0.68,0.34,0.58,0.92,0.61,1.53,0.81,1.42,19,13,4,2,40,13,27,43,2.26,38.4,16.9,21.4,1.13,19,8,7,4,21,19,2,31,1.63,21.4,16.3,5.1,0.27,458,106,23.1,12.05,2.79,0.03,0.12,22.0,29,2019,brasil,brasileirao
139,Bahia,31,27.0,46.9,38,418,3420,38,43,24,67,34,9,10,68,6,51.7,43.9,35.4,79.3,775,1512,1.13,0.63,1.76,0.89,1.53,1.36,0.93,2.29,1.16,2.09,19,12,3,4,38,18,20,39,2.05,34.7,19.7,15.0,0.79,19,7,5,7,26,21,5,26,1.37,22.4,22.8,-0.4,-0.02,487,148,30.4,12.82,3.89,0.07,0.23,20.4,29,2019,brasil,brasileirao
140,Botafogo (RJ),33,26.9,49.4,38,418,3420,38,29,22,51,26,3,3,95,3,37.9,35.6,27.9,63.5,589,1187,0.76,0.58,1.34,0.68,1.26,1.0,0.73,1.73,0.94,1.67,19,12,3,4,26,11,15,39,2.05,38.7,15.6,23.1,1.22,19,6,7,6,25,21,4,25,1.32,25.3,34.2,-8.9,-0.47,387,122,31.5,10.18,3.21,0.07,0.21,20.1,29,2019,brasil,brasileirao
141,Ceará,33,29.0,45.6,38,418,3420,38,35,24,59,32,3,6,86,2,48.7,43.9,32.5,76.5,758,1545,0.92,0.63,1.55,0.84,1.47,1.28,0.86,2.14,1.16,2.01,19,10,6,3,23,12,11,36,1.89,29.4,15.3,14.0,0.74,19,7,6,6,16,18,-2,27,1.42,14.8,26.9,-12.1,-0.64,493,160,32.5,12.97,4.21,0.06,0.2,19.8,35,2019,brasil,brasileirao
142,Chapecoense,36,28.8,44.5,38,418,3420,38,31,22,53,27,4,5,77,5,41.7,37.8,30.0,67.8,673,1175,0.82,0.58,1.39,0.71,1.29,1.1,0.79,1.89,0.99,1.78,19,11,6,2,28,15,13,39,2.05,34.1,20.1,14.0,0.74,19,5,3,11,16,24,-8,18,0.95,18.9,27.4,-8.5,-0.45,507,137,27.0,13.34,3.61,0.05,0.2,21.0,25,2019,brasil,brasileirao
143,Corinthians,33,28.0,51.3,38,418,3420,38,41,26,67,37,4,4,70,1,42.4,39.2,30.5,69.7,676,1539,1.08,0.68,1.76,0.97,1.66,1.11,0.8,1.92,1.03,1.84,19,10,7,2,25,13,12,37,1.95,25.9,19.0,7.0,0.37,19,4,7,8,17,21,-4,19,1.0,16.4,23.9,-7.4,-0.39,488,143,29.3,12.84,3.76,0.08,0.26,20.1,31,2019,brasil,brasileirao
144,Cruzeiro,35,28.9,52.2,38,418,3420,38,27,17,44,23,4,5,88,6,46.5,42.7,32.9,75.6,704,1840,0.71,0.45,1.16,0.61,1.05,1.22,0.87,2.09,1.12,1.99,19,11,2,6,26,17,9,35,1.84,25.3,21.5,3.8,0.2,19,4,6,9,24,32,-8,18,0.95,24.7,40.6,-15.9,-0.84,504,148,29.4,13.26,3.89,0.05,0.16,20.8,25,2019,brasil,brasileirao
