,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
41,Huracán,31,25.4,52.0,27,297,2430,27,33,17,50,23,10,11,75,3,32.6,24.0,19.0,42.9,364,1032,1.22,0.63,1.85,0.85,1.48,1.21,0.7,1.91,0.89,1.59,13,6,6,1,13,5,8,24,1.85,15.5,8.6,6.9,0.53,14,2,5,7,11,19,-8,11,0.79,9.8,17.9,-8.1,-0.58,299,87,29.1,11.07,3.22,0.05,0.17,18.0,16,2022,argentina,liga_argentina
42,Independiente,32,27.8,51.2,27,297,2460,27,31,24,55,29,2,2,70,1,28.0,26.4,20.2,46.6,394,1048,1.13,0.88,2.01,1.06,1.94,1.02,0.74,1.76,0.97,1.71,14,5,6,3,12,11,1,21,1.5,11.9,14.2,-2.3,-0.16,13,3,5,5,13,19,-6,14,1.08,10.6,14.3,-3.7,-0.29,291,75,25.8,10.78,2.78,0.05,0.19,19.6,13,2022,argentina,liga_argentina
43,Lanús,37,26.7,49.9,27,297,2430,27,22,12,34,19,3,3,77,8,26.8,24.8,18.8,43.6,367,973,0.81,0.44,1.26,0.7,1.15,0.99,0.7,1.69,0.92,1.62,13,5,3,5,14,14,0,18,1.38,18.1,15.7,2.4,0.18,14,4,4,6,13,15,-2,16,1.14,16.3,14.4,1.8,0.13,328,93,28.4,12.15,3.44,0.07,0.24,19.5,11,2022,argentina,liga_argentina
44,Newell's OB,32,24.3,46.2,27,297,2430,27,21,16,37,21,0,2,70,5,25.9,24.2,18.0,42.2,399,896,0.78,0.59,1.37,0.78,1.37,0.96,0.67,1.62,0.9,1.56,14,6,4,4,15,12,3,22,1.57,12.1,15.7,-3.6,-0.26,13,3,3,7,11,17,-6,12,0.92,9.9,16.8,-6.9,-0.53,335,101,30.1,12.41,3.74,0.09,0.31,19.3,10,2022,argentina,liga_argentina
45,Patronato,31,26.2,48.3,27,297,2430,27,30,23,53,27,3,6,76,8,30.8,26.3,19.2,45.5,311,954,1.11,0.85,1.96,1.0,1.85,1.14,0.71,1.85,0.97,1.69,14,5,6,3,11,11,0,21,1.5,19.0,10.5,8.5,0.6,13,3,2,8,13,24,-11,11,0.85,14.2,18.8,-4.6,-0.35,287,106,36.9,10.63,3.93,0.08,0.21,20.9,14,2022,argentina,liga_argentina
46,Platense,30,26.1,46.6,27,297,2430,27,23,12,35,20,3,4,73,6,26.3,23.2,16.2,39.4,352,877,0.85,0.44,1.3,0.74,1.19,0.97,0.6,1.57,0.86,1.46,13,4,5,4,16,13,3,17,1.31,16.1,16.2,-0.1,-0.01,14,3,4,7,7,13,-6,13,0.93,10.4,18.0,-7.6,-0.54,294,91,31.0,10.89,3.37,0.08,0.25,21.0,10,2022,argentina,liga_argentina
47,Racing Club,33,28.3,61.7,27,297,2430,27,39,30,69,38,1,4,69,7,36.4,33.2,24.8,58.0,398,1278,1.44,1.11,2.56,1.41,2.52,1.35,0.92,2.27,1.23,2.15,13,4,5,4,12,12,0,17,1.31,12.5,11.2,1.2,0.09,14,2,7,5,7,13,-6,13,0.93,9.9,17.6,-7.8,-0.55,320,110,34.4,11.85,4.07,0.1,0.29,21.1,37,2022,argentina,liga_argentina
48,River Plate,28,27.8,60.8,27,297,2430,27,43,31,74,43,0,0,73,5,32.5,32.5,25.3,57.9,517,1388,1.59,1.15,2.74,1.59,2.74,1.21,0.94,2.14,1.21,2.14,14,5,5,4,9,11,-2,20,1.43,16.8,13.1,3.7,0.26,13,2,4,7,12,21,-9,10,0.77,12.6,15.7,-3.1,-0.24,425,140,32.9,15.74,5.19,0.09,0.28,19.3,22,2022,argentina,liga_argentina
49,Rosario Central,33,25.0,50.1,27,297,2430,27,24,16,40,21,3,5,74,3,31.1,27.2,19.8,47.0,376,905,0.89,0.59,1.48,0.78,1.37,1.15,0.73,1.88,1.01,1.74,13,5,5,3,13,12,1,20,1.54,15.0,12.0,2.9,0.23,14,2,4,8,11,26,-15,10,0.71,13.3,20.6,-7.3,-0.52,339,118,34.8,12.56,4.37,0.09,0.27,20.1,15,2022,argentina,liga_argentina
50,San Lorenzo,31,25.7,46.2,27,297,2430,27,32,23,55,26,6,8,65,2,29.6,23.3,19.6,42.9,381,892,1.19,0.85,2.04,0.96,1.81,1.1,0.73,1.82,0.86,1.59,14,5,2,7,9,11,-2,17,1.21,13.8,13.7,0.1,0.0,13,2,6,5,11,19,-8,12,0.92,11.3,22.1,-10.8,-0.83,288,86,29.9,10.67,3.19,0.06,0.21,18.6,11,2022,argentina,liga_argentina
